ID,First Name,Last Name,Department,Title,Salary,Hire Date,Birth Date,Gender,Clearance
2956,Michael,Goldstein,Engineering,Engineer,51000,4/11/1997,3/7/1963,M,TS
4123,Steve,Ballmer,Engineering,Engineer,42900,5/1/2002,4/14/1970,M,N
3117,Frederich,Bednarczyk,Engineering,CSR,56700,5/14/1999,5/27/1970,M,S
2122,Yuan,Chang,Engineering,Engineer,46540,9/5/1995,3/4/1964,M,TS
2451,Francine,Detweiler,Engineering,Engineer,56700,10/10/1995,4/29/1970,F,S
2896,Samuel,Gates,Engineering,Engineer,66300,1/28/1997,4/10/1974,M,S
2768,Phyllis,Leonard,Engineering,Engineer,59800,12/13/1996,7/2/1970,F,TS
1119,Sharad,Manispour,Engineering,Manager,54500,10/13/1990,2/4/1969,M,S
2344,Nemesha,Mehta,Engineering,Engineer,65000,10/1/1995,2/12/1965,F,S
3210,Carmen,Ortega-Molina,Engineering,Engineer,46000,9/16/1999,3/28/1952,F,S
2002,Edgar,Rothrock,Engineering,Engineer,53300,2/8/1994,3/21/1970,M,S
3015,Patti,Stonesifer,Engineering,Engineer,64300,7/6/1998,3/10/1966,F,S
2678,Koshi,Yamamoto,Engineering,Engineer,49600,11/16/1995,1/24/1963,F,S
2733,John,Zumkowski,Engineering,CSR,33000,4/18/1996,12/12/1972,M,TS
3314,Svetlana,Kartashev,Human Resources,CSR,38000,11/5/2001,5/3/1982,F,N
4006,Alice,Rovik,Human Resources,Manager,43000,12/1/2001,1/26/1955,M,S
2042,Hillary,Cushner,Management,Staff,32000,8/26/1994,5/6/1961,F,TS
1851,Melinda,English,Management,Manager,62040,10/1/1993,2/14/1956,F,TS
1355,Barbara,Grabowski,Management,Manager,75700,10/13/1992,4/10/1965,F,C
1173,Roberta,Kurzweil,Management,Manager,63000,6/16/1992,12/22/1958,F,S
1441,James,Van Horn,Management,Manager,66500,12/18/1992,2/3/1958,M,S
1042,Maria,Andretti,Marketing,CSR,42500,3/21/1990,8/20/1970,F,N
1032,Hillary,Flintsteel,Marketing,Staff,34500,3/21/1990,8/22/1958,F,N
1009,Kevin,Grundies,Marketing,CSR,38900,12/24/1989,3/4/1961,M,C
1614,Artie,Lambros,Marketing,CSR,41000,5/16/1993,7/13/1970,M,N
2105,Luca,Pacioli,Marketing,Staff,42300,8/26/1995,5/6/1950,M,S
1016,Oscar,Gomez,Marketing,CSR,43500,2/16/1990,4/29/1967,M,N
